,The Working BBA - Enterprise Leadership,The Working BBA - Family Business,The Working BBA - Venture Builder
,"University Subjects*
Supply Chain & Logistics | Environment & Sustainability | Entrepreneurship Development | Business Ethics | Research Methodology | Business Planning & Project Management | Personal Finance | Event Management | Management Control Systems | E-Commerce","University Subjects*
Supply Chain & Logistics | Environment & Sustainability | Entrepreneurship Development | Business Ethics | Research Methodology | Business Planning & Project Management | Personal Finance | Event Management | Management Control Systems | E-Commerce","University Subjects*
Supply Chain & Logistics | Environment & Sustainability | Entrepreneurship Development | Business Ethics | Research Methodology | Business Planning & Project Management | Personal Finance | Event Management | Management Control Systems | E-Commerce"
,,,
,EXPERIENCE,EXPERIENCE,EXPERIENCE
,"9‑Month Apprenticeship
Enterprise Leadership: full‑time apprenticeship role with clear outputs + strong references","9-Month Family Business Project
Work inside your own family's business, Own KPIs and deliver outcomes., Graduate ready for succession.","9-Month Venture Building
Build your own business from scratch., Find customers, build systems, create repeatability., Graduate with a running business or proven capability."
,"Self-Study Skill Tracks
Choose 2 from: Team Design & Performance Mgmt, Technology in Business, Design in Business","Self-Study Skill Tracks
Choose 2 from: Team Design & Performance Mgmt, Technology in Business, Design in Business","Self-Study Skill Tracks
Choose 2 from: Team Design & Performance Mgmt, Technology in Business, Design in Business"
,,,
,AWARENESS,AWARENESS,AWARENESS
,"Career Coaching
4 Career Blueprint sessions + StorySells 3 (Purpose & Values) + Reflection & Coaching Sessions + Industry Networking Week + Daily Cards","Career Coaching
4 Career Blueprint sessions + StorySells 3 (Purpose & Values) + Reflection & Coaching Sessions + Industry Networking Week + Daily Cards","Career Coaching
4 Career Blueprint sessions + StorySells 3 (Purpose & Values) + Reflection & Coaching Sessions + Industry Networking Week + Daily Cards"
,,"Business Coaching
6 Individual + 2 Family sessions, Focus: Succession & Integration","Business Coaching
7 Individual + 1 Family sessions, Focus: Growth & Resilience"
,,,
,ASSESSMENT,ASSESSMENT,ASSESSMENT
,"How We Track Progress (Year 3)
Progress Visibility: 9-month capstone reviews · Employer/client/family feedback reports · Final portfolio assessment · Industry Benchmark comparison · Career Readiness Certification
Evidence produced (Year 3): Integrated Client deliverable + Capstone Uutputs (performance reviews / KPIs / venture traction) + References + Final portfolio ","How We Track Progress (Year 3)
Progress Visibility: 9-month capstone reviews · Employer/client/family feedback reports · Final portfolio assessment · Industry Benchmark comparison · Career Readiness Certification
Evidence produced (Year 3): Integrated Client deliverable + Capstone Uutputs (performance reviews / KPIs / venture traction) + References + Final portfolio ","How We Track Progress (Year 3)
Progress Visibility: 9-month capstone reviews · Employer/client/family feedback reports · Final portfolio assessment · Industry Benchmark comparison · Career Readiness Certification
Evidence produced (Year 3): Integrated Client deliverable + Capstone Uutputs (performance reviews / KPIs / venture traction) + References + Final portfolio "
